Age,Gender,Education_Level,Employment_Status,Income_Level,Location,Preferred_Learning_Style,Device_Used_for_Learning,Preferred_Study_Time,Courses_Enrolled,Course_Completion_Rate,Average_Study_Time_per_Week,Number_of_Assessments_Taken,Average_Assessment_Score,Forum_Participation,Peer_Interaction_Score,Instructor_Interaction_Frequency,Motivation_Level,Course_Satisfaction_Rating,Feedback_Sentiment,Certification_Achieved,Learning_Outcome_Status,Engagement_Level,Dropout_Risk,Course_Satisfaction_Level,Study_Efficiency,Assessment_Intensity,Interaction_Score,was_missing_Gender,was_missing_Education_Level,was_missing_Employment_Status,was_missing_Location,was_missing_Preferred_Learning_Style,was_missing_Device_Used_for_Learning,was_missing_Preferred_Study_Time,was_missing_Income_Level,was_missing_Engagement_Level,was_missing_Course_Completion_Rate,was_missing_Average_Study_Time_per_Week,was_missing_Number_of_Assessments_Taken,was_missing_Average_Assessment_Score,was_missing_Forum_Participation,was_missing_Peer_Interaction_Score,was_missing_Instructor_Interaction_Frequency,was_missing_Course_Satisfaction_Rating,was_zero_denom_efficiency,was_zero_denom_intensity
36,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Visual,Mobile,Afternoon,3,0.133564118701523,4.27246524359387,10.0,64.1960238874621,3.0,44.9067913840606,1.0,1.0,3.2824361452328,2.0,1.0,0.0,0.0,1.0,1.0,15.022006785639599,3.332222592469177,54.9067913840606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,female,Junior secondary,Employed full-time,2.0,Urban,Auditory,Mobile,Morning,3,0.47096619507418,1.70689149652857,11.0,69.7095239652922,9.0,32.9369888632012,2.0,2.0,3.9765486763679,1.0,0.0,1.0,1.0,0.0,2.0,40.816131532350006,3.665444851716095,52.9369888632012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,male,Associate/Bachelor,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Afternoon,6,0.237140440806922,2.75339866555388,10.0,67.0495865685101,0.0,57.3243757468021,6.0,2.0,4.57933079734796,2.0,0.0,1.0,0.0,1.0,0.0,24.342731285424563,1.6663889351774703,117.3243757468021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,female,No formal/Primary,Part-time,2.0,Urban,Kinesthetic,Tablet,Evening/Night,4,0.34166364764359,8.00297985669949,12.0,69.8862612229245,6.0,61.7275076268381,4.0,2.0,3.66043440334193,2.0,0.0,0.0,2.0,0.0,0.0,8.731438918406113,2.9992501874531365,101.7275076268381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,female,Senior secondary/Vocational,Student/Retired,1.0,Rural,Auditory,Desktop/Laptop,Afternoon,0,0.550198165364924,6.62146470300493,11.0,76.1503894947664,3.0,59.3841098223485,4.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,11.498798847536825,,99.3841098223485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,female,Senior secondary/Vocational,Part-time,0.0,Rural,Auditory,Mobile,Afternoon,2,0.2691267487434015,4.92672467181832,8.0,78.1502297099735,4.0,45.8335609165019,2.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,15.859293064183358,3.99800099950025,65.83356091650191,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,female,Junior secondary,Employed full-time,0.0,Urban,Kinesthetic,Mobile,Evening/Night,2,0.250207491355145,5.80828591574938,8.0,76.5422739697165,4.0,38.7268884852614,5.0,0.0,1.88883977475155,2.0,0.0,1.0,1.0,0.0,1.0,13.175848990700397,3.99800099950025,88.7268884852614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Auditory,Tablet,Evening/Night,1,0.309003326786452,6.70403466232302,8.0,58.2128162850465,4.0,43.2207294592151,2.0,2.0,1.05816784632787,1.0,0.0,1.0,0.0,1.0,0.0,8.681956054926365,7.992007992007993,63.2207294592151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,male,Senior secondary/Vocational,Part-time,1.0,Rural,Auditory,Mobile,Afternoon,5,0.508089337649653,4.85353330611123,9.0,52.2044386780146,2.0,46.5813613294262,3.0,2.0,4.4266722813039,1.0,0.0,1.0,2.0,0.0,2.0,10.753750234300782,1.7996400719856027,76.5813613294262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,female,No formal/Primary,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Afternoon,6,0.699490813461831,6.71907463119937,6.0,69.8328391611634,6.0,53.0178466800284,2.0,1.0,3.32513327005416,2.0,0.0,0.0,2.0,0.0,2.0,10.391676133617572,0.9998333611064822,73.0178466800284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,female,Senior secondary/Vocational,Unemployed,0.0,Urban,Kinesthetic,Tablet,Morning,2,0.192260144088559,5.80678049834685,7.0,80.2360380041921,3.0,51.0531720014053,1.0,0.0,3.71511234454004,2.0,0.0,0.0,2.0,0.0,1.0,13.815266955600475,3.4982508745627188,61.0531720014053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,male,Junior secondary,Part-time,0.0,Rural,Kinesthetic,Mobile,Evening/Night,0,0.455971554426247,6.88631259369877,10.0,89.9681273932599,3.0,55.6324705039901,3.0,2.0,3.49743182619882,2.0,0.0,0.0,0.0,0.0,2.0,13.062878469545886,,85.6324705039901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,female,Junior secondary,Employed full-time,2.0,Rural,Auditory,Mobile,Morning,3,0.173232164125485,2.02873387679567,5.0,71.3607353791688,6.0,42.0953392406705,2.0,0.0,4.14728214137232,1.0,0.0,0.0,0.0,1.0,0.0,35.157680617631314,1.6661112962345885,62.0953392406705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Visual,Tablet,Afternoon,2,0.391099922233334,3.25527495636579,9.0,76.8662785702989,8.0,45.6846469589479,5.0,2.0,3.05047473004392,0.0,0.0,0.0,1.0,0.0,0.0,23.605586014789907,4.497751124437781,95.6846469589479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,female,Associate/Bachelor,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Morning,4,0.179310773729079,5.36343134193817,7.0,27.8156840740865,2.0,57.4014971119902,4.0,2.0,1.76075922104195,0.0,0.0,0.0,2.0,0.0,0.0,5.185206464780047,1.7495626093476628,97.40149711199021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,female,Senior secondary/Vocational,Unemployed,2.0,Urban,Kinesthetic,Tablet,Evening/Night,4,0.396267862195419,2.66576240158526,9.0,73.5165324111894,5.0,57.0835810998102,5.0,0.0,3.45607819090822,2.0,1.0,1.0,2.0,0.0,0.0,27.567709957020323,2.249437640589852,107.0835810998102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,male,Junior secondary,Employed full-time,0.0,Urban,Kinesthetic,Mobile,Afternoon,5,0.559156073670522,5.14973637018649,6.0,39.9239753944278,6.0,56.0848189272653,4.0,1.0,2.82669310584219,2.0,0.0,0.0,2.0,0.0,0.0,7.751119941901101,1.1997600479904018,96.0848189272653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Auditory,Mobile,Morning,0,0.289617450958857,8.99298271664606,9.0,96.5404925536254,6.0,42.8762726869699,5.0,1.0,3.88847688333825,2.0,0.0,0.0,1.0,0.0,1.0,10.733897939891335,,92.8762726869699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Kinesthetic,Mobile,Evening/Night,2,0.53440960853207,8.14054631567015,7.0,84.8111138709528,7.0,64.7209993837293,4.0,2.0,2.84794131001708,1.0,0.0,1.0,0.0,0.0,2.0,10.417076877363657,3.4982508745627188,104.7209993837293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,male,Senior secondary/Vocational,Employed full-time,0.0,Urban,Kinesthetic,Mobile,Evening/Night,3,0.70750788881889,3.62715070394148,8.0,63.2666703856519,7.0,48.8858930856064,4.0,2.0,4.72818949222965,2.0,0.0,0.0,2.0,0.0,0.0,17.437718426889347,2.665778073975342,88.8858930856064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,male,Master,Part-time,1.0,Urban,Visual,Mobile,Morning,4,0.0943744842442973,5.76655616995975,6.0,61.3349223932281,3.0,45.2769808838235,4.0,2.0,3.20254991398623,2.0,1.0,1.0,0.0,1.0,0.0,10.634473351588726,1.4996250937265683,85.2769808838235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,female,Senior secondary/Vocational,Employed full-time,2.0,Rural,Kinesthetic,Desktop/Laptop,Morning,4,0.216171143894747,2.70029034612452,9.0,71.7837355281451,6.0,43.0028330253884,5.0,2.0,3.47282945717581,0.0,0.0,1.0,1.0,1.0,0.0,26.573868903478516,2.249437640589852,93.0028330253884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,male,Junior secondary,Employed full-time,0.0,Urban,Auditory,Tablet,Morning,4,0.653540015598877,3.97726098136877,12.0,65.3040958336518,4.0,47.9211725699309,8.0,2.0,3.61693856073476,2.0,0.0,0.0,2.0,0.0,1.0,16.415236742759678,2.9992501874531365,127.9211725699309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Auditory,Mobile,Afternoon,1,0.392695924845398,3.14336127581628,10.0,56.8746653474176,7.0,57.9162134672312,2.0,1.0,2.29093095690076,2.0,0.0,0.0,1.0,1.0,2.0,18.08782781573115,9.990009990009991,77.9162134672312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,female,Senior secondary/Vocational,Employed full-time,2.0,Urban,Kinesthetic,Tablet,Afternoon,1,0.0874909500884567,5.34830969548018,14.0,93.4113660486623,7.0,45.6733998232599,2.0,1.0,4.76707005727042,1.0,0.0,1.0,2.0,0.0,1.0,17.46232156414291,13.986013986013987,65.6733998232599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,female,No formal/Primary,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Evening/Night,4,0.415996539913477,6.35190640445134,9.0,56.5199330125885,0.0,50.1953126689219,3.0,0.0,3.336074414985,2.0,1.0,0.0,1.0,0.0,0.0,8.89670481733939,2.249437640589852,80.1953126689219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,female,Master,Employed full-time,0.0,Urban,Kinesthetic,Tablet,Afternoon,4,0.30106203857922,5.50086453866695,9.0,91.8135594176203,6.0,38.8211160411877,2.0,1.0,4.74568532013571,2.0,0.0,0.0,0.0,1.0,1.0,16.68771718612066,2.249437640589852,58.8211160411877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,female,Junior secondary,Employed full-time,1.0,Rural,Visual,Desktop/Laptop,Morning,3,0.360268347680284,4.60910735565129,9.0,85.5965883999295,4.0,54.1716246622868,5.0,0.0,4.81189452504613,2.0,1.0,1.0,0.0,1.0,1.0,18.56715729081691,2.9990003332222592,104.1716246622868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,female,Senior secondary/Vocational,Student/Retired,1.0,Rural,Auditory,Tablet,Evening/Night,1,0.0210841082769851,3.78997266252924,5.0,72.9114007970901,4.0,73.7053030281571,9.0,2.0,4.3160717312929,1.0,0.0,0.0,1.0,1.0,1.0,19.23290070586937,4.9950049950049955,163.70530302815712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,female,Senior secondary/Vocational,Employed full-time,2.0,Urban,Auditory,Mobile,Afternoon,7,0.193092228144886,6.92736557334345,6.0,71.7920892147704,3.0,55.8629803656821,2.0,0.0,3.48943651760495,2.0,1.0,0.0,0.0,1.0,2.0,10.36205270273078,0.857020425653478,75.86298036568209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,female,No formal/Primary,Part-time,2.0,Urban,Kinesthetic,Tablet,Morning,3,0.274833434232369,4.78421307471109,6.0,52.788437353673,9.0,44.838199003323,5.0,0.0,4.57790419580269,0.0,0.0,1.0,0.0,1.0,1.0,11.031575089654734,1.9993335554815062,94.838199003323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,male,Senior secondary/Vocational,Employed full-time,2.0,Rural,Kinesthetic,Tablet,Evening/Night,3,0.195398223677797,4.59088763588395,11.0,100.0,4.0,53.0780885189234,4.0,2.0,3.50004803470174,1.0,0.0,1.0,0.0,1.0,1.0,21.77753637056272,3.665444851716095,93.07808851892341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
